================================================================================
1. SUMMARY TABLE - Key columns
================================================================================
            date  starting_capital      sold    bought  remaining  portfolio_value  gain_percentage
560   2023-03-03           9035.34      0.00      0.00    9035.34         13268.74           -86.73
561   2023-03-06           9035.34   2702.00   4060.55    7676.79         12615.64           -87.38
562   2023-03-07           7676.79      0.00      0.00    7676.79         12615.64           -87.38
563   2023-03-08           7676.79      0.00      0.00    7676.79         12695.79           -87.30
564   2023-03-09           7676.79      0.00      0.00    7676.79         12623.99           -87.38
565   2023-03-10           7676.79   1284.10      0.00    8960.89         12566.24           -87.43
566   2023-03-13           8960.89    788.81   3328.57    6421.13         12406.57           -87.59
567   2023-03-14           6421.13    437.88      0.00    6859.01         12502.76           -87.50
568   2023-03-15           6859.01      0.00      0.00    6859.01         12455.77           -87.54
569   2023-03-16           6859.01   1163.24      0.00    8022.25         12392.83           -87.61
570   2023-03-17           8022.25    289.69      0.00    8311.94         12471.23           -87.53
571   2023-03-20           8311.94   1111.61   2831.25    6592.30         12441.31           -87.56
572   2023-03-21           6592.30   1038.62      0.00    7630.92         12387.87           -87.61
573   2023-03-22           7630.92      0.00      0.00    7630.92         12438.32           -87.56
574   2023-03-23           7630.92      0.00      0.00    7630.92         12464.67           -87.54
575   2023-03-24           7630.92      0.00      0.00    7630.92         12448.32           -87.55
576   2023-03-27           7630.92    642.80   1418.80    6854.92         12456.32           -87.54
577   2023-03-28           6854.92      0.00      0.00    6854.92         12402.72           -87.60
578   2023-03-29           6854.92    754.48      0.00    7609.40         12492.40           -87.51
579   2023-03-30           7609.40      0.00      0.00    7609.40         12492.40           -87.51
580   2023-03-31           7609.40      0.00      0.00    7609.40         12683.85           -87.32
581   2023-04-03           7609.40   3808.30   3666.25    7751.45         12120.85           -87.88
582   2023-04-04           7751.45      0.00      0.00    7751.45         12120.85           -87.88
583   2023-04-05           7751.45    944.22      0.00    8695.67         12050.22           -87.95
584   2023-04-06           8695.67      0.00      0.00    8695.67         12117.02           -87.88
585   2023-04-07           8695.67      0.00      0.00    8695.67         12117.02           -87.88
586   2023-04-10           8695.67   2788.77   3591.65    7892.79         12152.09           -87.85
587   2023-04-11           7892.79      0.00      0.00    7892.79         11359.29           -88.64
588   2023-04-12           7892.79    739.75      0.00    8632.54         11275.14           -88.72
589   2023-04-13           8632.54      0.00      0.00    8632.54         11293.04           -88.71
590   2023-04-14           8632.54      0.00      0.00    8632.54         11293.04           -88.71
591   2023-04-17           8632.54    218.80   2001.25    6850.09         11333.89           -88.67
592   2023-04-18           6850.09      0.00      0.00    6850.09         11382.59           -88.62
593   2023-04-19           6850.09      0.00      0.00    6850.09         11364.09           -88.64
594   2023-04-20           6850.09      0.00      0.00    6850.09         11439.64           -88.56
595   2023-04-21           6850.09      0.00      0.00    6850.09         11427.04           -88.57
596   2023-04-24           6850.09   1883.85   2828.00    5905.94         11409.99           -88.59
597   2023-04-25           5905.94      0.00      0.00    5905.94         11453.04           -88.55
598   2023-04-26           5905.94    305.81      0.00    6211.75         11419.75           -88.58
599   2023-04-27           6211.75      0.00      0.00    6211.75         11441.20           -88.56
600   2023-04-28           6211.75      0.00      0.00    6211.75         11464.25           -88.54
601   2023-05-01           6211.75   1929.75   1638.10    6503.40         11491.65           -88.51
602   2023-05-02           6503.40      0.00      0.00    6503.40         11495.10           -88.50
603   2023-05-03           6503.40      0.00      0.00    6503.40         11546.35           -88.45
604   2023-05-04           6503.40      0.00      0.00    6503.40         11563.65           -88.44
605   2023-05-05           6503.40      0.00      0.00    6503.40         11575.05           -88.42
606   2023-05-08           6503.40   2084.53   2496.20    6091.73         11568.43           -88.43
607   2023-05-09           6091.73    470.34      0.00    6562.07         11553.52           -88.45
608   2023-05-10           6562.07    714.78      0.00    7276.85         11631.35           -88.37
609   2023-05-11           7276.85      0.00      0.00    7276.85         11706.95           -88.29
610   2023-05-12           7276.85      0.00      0.00    7276.85         11710.50           -88.29
611   2023-05-15           7276.85   1578.70   2093.60    6761.95         11761.30           -88.24
612   2023-05-16           6761.95      0.00      0.00    6761.95         11777.40           -88.22
613   2023-05-17           6761.95      0.00      0.00    6761.95         11769.60           -88.23
614   2023-05-18           6761.95      0.00      0.00    6761.95         11790.30           -88.21
615   2023-05-19           6761.95      0.00      0.00    6761.95         11840.65           -88.16
616   2023-05-22           6761.95   1816.11   2428.70    6149.36         11809.71           -88.19
617   2023-05-23           6149.36      0.00      0.00    6149.36         11820.66           -88.18
618   2023-05-24           6149.36      0.00      0.00    6149.36         11867.21           -88.13
619   2023-05-25           6149.36   1296.21      0.00    7445.57         11900.02           -88.10
620   2023-05-26           7445.57      0.00      0.00    7445.57         11823.62           -88.18
621   2023-05-29           7445.57      0.00   1450.80    5994.77         11875.82           -88.12
622   2023-05-30           5994.77      0.00      0.00    5994.77         11969.52           -88.03
623   2023-05-31           5994.77    389.70      0.00    6384.47         12017.02           -87.98
624   2023-06-01           6384.47    662.10      0.00    7046.57         12090.77           -87.91
625   2023-06-02           7046.57      0.00      0.00    7046.57         12070.67           -87.93
626   2023-06-05           7046.57   2759.10   2928.85    6876.82         11110.12           -88.89
627   2023-06-06           6876.82      0.00      0.00    6876.82         11143.62           -88.86
